shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
20093,39.795715,-86.152362,240001
20093,39.795789,-86.152362,240002
20093,39.797244,-86.152366,240003
20093,39.797244,-86.152366,250001
20093,39.797376,-86.152366,250002
20093,39.797380,-86.152042,250003
20093,39.797396,-86.150971,250004
20093,39.797399,-86.150775,250005
20093,39.797412,-86.149722,250006
20093,39.797413,-86.149715,250007
20093,39.797413,-86.149715,260001
20093,39.797420,-86.149658,260002
20093,39.797442,-86.149580,260003
20093,39.797470,-86.149505,260004
20093,39.797559,-86.149264,260005
20093,39.797579,-86.149161,260006
20093,39.797594,-86.148189,260007
20093,39.797594,-86.148189,270001
20093,39.797598,-86.147940,270002
20093,39.797621,-86.146509,270003
20093,39.797621,-86.146509,280001
20093,39.797623,-86.146360,280002
20093,39.797635,-86.145574,280003
20093,39.797641,-86.144823,280004
20093,39.797644,-86.144752,280005
20093,39.797978,-86.144752,280006
20093,39.797978,-86.144752,290001
20093,39.799302,-86.144753,290002
20093,39.799302,-86.144753,300001
20093,39.799412,-86.144753,300002
20093,39.801155,-86.144765,300003
20093,39.801155,-86.144765,310001
20093,39.801237,-86.144766,310002
20093,39.802917,-86.144768,310003
20093,39.802917,-86.144768,320001
20093,39.803063,-86.144768,320002
20093,39.804175,-86.144775,320003
20093,39.804175,-86.144775,330001
20093,39.804246,-86.144776,330002
20093,39.805333,-86.144780,330003
20093,39.805333,-86.144780,340001
20093,39.805426,-86.144781,340002
20093,39.805986,-86.144784,340003
20093,39.806774,-86.144790,340004
20093,39.806774,-86.144790,350001
20093,39.806870,-86.144791,350002
20093,39.807095,-86.144781,350003
20093,39.808001,-86.144784,350004
20093,39.808539,-86.144873,350005
20093,39.808676,-86.144921,350006
20093,39.808848,-86.144630,350007
20093,39.808944,-86.144485,350008
20093,39.809113,-86.144279,350009
20093,39.809259,-86.144138,350010
20093,39.809410,-86.144014,350011
20093,39.809603,-86.143891,350012
20093,39.809782,-86.143807,350013
20093,39.809933,-86.143755,350014
20093,39.810120,-86.143713,350015
20093,39.810309,-86.143697,350016
20093,39.810364,-86.143694,350017
20093,39.810371,-86.143430,350018
20093,39.810620,-86.141627,350019
20093,39.810847,-86.141636,350020
20093,39.810992,-86.141622,350021
20093,39.810992,-86.141622,360001
20093,39.811218,-86.141599,360002
20093,39.813089,-86.141145,360003
20093,39.813089,-86.141145,370001
20093,39.813216,-86.141115,370002
20093,39.814265,-86.140893,370003
20093,39.814265,-86.140893,380001
20093,39.814538,-86.140835,380002
20093,39.814684,-86.140719,380003
20093,39.814816,-86.140581,380004
20093,39.814915,-86.140453,380005
20093,39.815028,-86.140294,380006
20093,39.815200,-86.140014,380007
20093,39.815280,-86.139869,380008
20093,39.815440,-86.139286,380009
20093,39.815440,-86.139286,390001
20093,39.815506,-86.139048,390002
20093,39.815584,-86.138771,390003
20093,39.815876,-86.137710,390004
20093,39.815876,-86.137710,400001
20093,39.815932,-86.137506,400002
20093,39.816374,-86.136025,400003
20093,39.816374,-86.136025,410001
20093,39.816594,-86.135285,410002
20093,39.816938,-86.135127,410003
20093,39.817244,-86.134969,410004
20093,39.817907,-86.134596,410005
20093,39.817907,-86.134596,420001
20093,39.817956,-86.134568,420002
20093,39.817995,-86.134569,420003
20093,39.818017,-86.134579,420004
20093,39.818019,-86.134077,420005
20093,39.818024,-86.132767,420006
20093,39.818024,-86.132767,430001
20093,39.818024,-86.132607,430002
20093,39.818030,-86.131275,430003
20093,39.818030,-86.131275,440001
20093,39.818030,-86.131141,440002
20093,39.818041,-86.129798,440003
20093,39.818041,-86.129798,450001
20093,39.818042,-86.129653,450002
20093,39.818050,-86.128168,450003
20093,39.818052,-86.127915,450004
20093,39.818052,-86.127915,460001
20093,39.818058,-86.126940,460002
20093,39.818063,-86.126406,460003
20093,39.818066,-86.125975,460004
20093,39.818066,-86.125975,470001
20093,39.818068,-86.125712,470002
20093,39.818079,-86.124227,470003
