stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
10341,10341,"Lafayette Rd - 3574 N",,  39.820197, -86.231319,,,0,
10342,10342,"Lafayette Rd - 3500 N",,  39.818451, -86.229599,,,0,
10343,10343,"Commercial Dr - 3550 N",,  39.818410, -86.228339,,,0,
10344,10344,"Commercial Dr - 3650 N",,  39.819461, -86.228426,,,0,
10345,10345,"Commercial Dr - 3695 N",,  39.821707, -86.228458,,,0,
10346,10346,"Commercial Dr - 3720 N",,  39.822807, -86.229204,,,0,
10347,10347,"Commercial Dr & Shopping Center Dr",,  39.822285, -86.228655,,,0,
10348,10348,"Commercial Dr & Lafayette Rd",,  39.818374, -86.228453,,,0,
10349,10349,"Lafayette Rd - 3600 N",,  39.820206, -86.231145,,,0,
10350,10350,"Lafayette Rd 3750 N",,  39.822277, -86.233152,,,0,
10351,10351,"38th St & Guion Rd",,  39.823507, -86.220587,,,0,
10352,10352,"38th St & Cold Spring Rd",,  39.824365, -86.197939,,,0,
10353,10353,"38th St & Private Dr",,  39.824492, -86.184457,,,0,
10355,10355,"38th St & Clarendon Rd",,  39.824684, -86.171428,,,0,
10356,10356,"38th St & Byram Ave",,  39.824703, -86.169619,,,0,
10357,10357,"38th St & Rookwood Ave",,  39.824711, -86.167790,,,0,
10358,10358,"38th St & Cornelius Ave",,  39.824716, -86.165981,,,0,
10359,10359,"38th St & Boulevard Pl",,  39.824726, -86.164286,,,0,
10360,10360,"38th St & Kenwood Ave",,  39.824941, -86.159631,,,0,
10361,10361,"38th St & Boulevard Pl",,  39.824926, -86.163127,,,0,
10362,10362,"38th St & High School Rd",,  39.823639, -86.268513,,,0,
10363,10363,"38th St - 4945 W",,  39.823812, -86.243037,,,0,
10364,10364,"38th St & Capitol Ave",,  39.824742, -86.160616,,,0,
10365,10365,"38th St & Illinois St",,  39.824768, -86.158252,,,0,
10366,10366,"38th St & Cornelius Ave",,  39.824912, -86.165591,,,0,
10367,10367,"38th St & Byram Ave",,  39.824897, -86.169204,,,0,
10400,10400,"Delaware St & Market St",,  39.768718, -86.154391,,,0,
10401,10401,"Delaware St & New York St",,  39.771030, -86.154248,,,0,
10402,10402,"Delaware St & Vermont St",,  39.772370, -86.154186,,,0,
10403,10403,"Delaware St & Michigan St",,  39.773735, -86.154132,,,0,
10405,10405,"Alabama St & North St",,  39.775859, -86.152279,,,0,
10407,10407,"Alabama St & Saint Clair Ct",,  39.777756, -86.152175,,,0,
10408,10408,"Alabama St & 09th St",,  39.778945, -86.152162,,,0,
10410,10410,"Alabama St & Puryear St",,  39.780834, -86.152082,,,0,
10411,10411,"Alabama St & 12th St",,  39.782816, -86.152118,,,0,
10412,10412,"Alabama St & 13th St",,  39.784364, -86.152136,,,0,
10413,10413,"Alabama St & 15th St",,  39.787379, -86.152128,,,0,
10414,10414,"Alabama St & 16th St",,  39.788671, -86.152194,,,0,
10415,10415,"Alabama St & 17th St",,  39.790681, -86.152276,,,0,
10416,10416,"Alabama St & 19th St",,  39.792984, -86.152275,,,0,
10417,10417,"Alabama St & 21st St",,  39.795715, -86.152301,,,0,
10418,10418,"Alabama St & 22nd St",,  39.797244, -86.152319,,,0,
10419,10419,"22nd St & Central Ave",,  39.797395, -86.149711,,,0,
10420,10420,"22nd St & Park Ave",,  39.797555, -86.148189,,,0,
10421,10421,"22nd St & Broadway St",,  39.797614, -86.146510,,,0,
10422,10422,"College Ave & 22nd St",,  39.797979, -86.144683,,,0,
10423,10423,"College Ave & 23rd St",,  39.799302, -86.144706,,,0,
10424,10424,"College Ave & 24th St",,  39.801155, -86.144723,,,0,
10425,10425,"College Ave & 25th St",,  39.802917, -86.144713,,,0,
10426,10426,"College Ave & 26th St",,  39.804175, -86.144719,,,0,
10427,10427,"College Ave & 27th St",,  39.805333, -86.144730,,,0,
10428,10428,"College Ave & 28th St",,  39.806774, -86.144729,,,0,
10429,10429,"College Ave & 30th St",,  39.810206, -86.144860,,,0,
10430,10430,"30th St & Fall Creek Pkwy N Dr",,  39.810341, -86.144064,,,0,
10431,10431,"Sutherland Ave & 30th St",,  39.810988, -86.141558,,,0,
10432,10432,"Sutherland Ave & 32nd St",,  39.813087, -86.141128,,,0,
